t [s];f_ist [g/min];F_soll [g/min];m [g];mp [g];tp [s];;
0;0;450;0;500;60;;0
0,41;19,42;450;0,07;500;60;;0,0663516667
1,4;17,55;450;0,37;500;60;;0,3713541667
2,41;17,56;450;0,67;500;60;;0,6668633333
3,41;22,13;450;1;500;60;;0,9976133333
4,41;31,61;450;1,45;500;60;;1,4454466667
5,43;46,54;450;2,11;500;60;;2,1097216667
6,43;63,72;450;3,03;500;60;;3,028555
7,43;108,4;450;4,47;500;60;;4,4628883333
8,45;672,71;450;11,09;500;60;;11,1023233333
9,45;613,1;450;21,81;500;60;;21,8174066667
10,48;553,69;567,27;31,8;500;60;;31,8323541667
11,48;499,85;567,27;40,62;500;60;;40,6118541667
12,49;499,61;567,27;49,01;500;60;;49,0239758333
13,49;517,45;567,27;57,5;500;60;;57,4994758333
14,51;539,55;567,27;66,43;500;60;;66,4839758333
15,51;552,51;567,27;75,54;500;60;;75,5844758333
16,51;558,49;567,27;84,81;500;60;;84,8428091667
17,52;559,85;567,27;94,25;500;60;;94,2555041667
18,53;560,35;567,27;103,65;500;60;;103,6838541667
19,54;560,82;567,27;113,07;500;60;;113,1203683333
20,54;561,18;574,07;122,44;500;60;;122,4703683333
21,53;561,57;574,07;131,73;500;60;;131,7330558333
22,53;562,46;574,07;141,09;500;60;;141,0999725
23,53;563,05;574,07;150,46;500;60;;150,4792225
24,53;563,45;574,07;159,86;500;60;;159,8667225
25,54;563,83;574,07;169,32;500;60;;169,3546625
26,54;564,11;574,07;178,73;500;60;;178,7541625
27,54;564,53;574,07;188,12;500;60;;188,1594958333
28,55;564,76;574,07;197,64;500;60;;197,6643533333
29,55;565,03;574,07;207,05;500;60;;207,07927
30,55;565,26;577,63;216,46;500;60;;216,4983533333
31,58;565,76;577,63;226,19;500;60;;226,206275
32,56;598,56;577,63;235,71;500;60;;235,7148883333
33,59;916,84;577,63;248,65;500;60;;248,7220716667
34,59;932,03;577,63;264,13;500;60;;264,1293216667
35,62;797,58;577,63;278,9;500;60;;278,9751408333
36,63;574,23;577,63;290,49;500;60;;290,5212083333
37,65;488,36;577,63;299,52;500;60;;299,5532233333
38,66;471,77;577,63;307,58;500;60;;307,6343175
39,67;474,94;577,63;315,57;500;60;;315,60246
40,67;489,02;547,51;323,59;500;60;;323,63546
41,69;509,61;547,51;332,09;500;60;;332,123815
42,71;520,25;547,51;340,83;500;60;;340,877625
43,73;525,01;547,51;349,72;500;60;;349,762335
44,73;527,2;547,51;358,49;500;60;;358,5307516667
45,72;528,65;547,51;367,22;500;60;;367,2415141667
46,74;529,82;547,51;376,2;500;60;;376,2385091667
47,76;531,16;547,51;385,21;500;60;;385,2568391667
48,76;532,01;547,51;394,09;500;60;;394,1165891667
49,77;532,95;547,51;403,03;500;60;;403,0800025
50,77;533,85;572,4;411,91;500;60;;411,9700025
51,79;535,31;572,4;421,06;500;60;;421,0578625
52,78;540,76;572,4;429,92;500;60;;429,93544
53,79;548,86;572,4;439,06;500;60;;439,1064083333
54,79;555,62;572,4;448,27;500;60;;448,3104083333
55,8;559,4;572,4;457,67;500;60;;457,69516
56,8;560,64;572,4;467;500;60;;467,0288266667
57,79;561,6;572,4;476,23;500;60;;476,2873066667
58,8;562,37;572,4;485,68;500;60;;485,7473875
59,81;562,97;572,4;495,18;500;60;;495,2189991667
